filename,filepath,filesize,sample_rate,actor,actor_sex,emotion,label
03-01-01-01-01-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-01-01-01-01-01.wav,375720,48000,1,male,neutral,0
03-01-01-01-01-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-01-01-01-02-01.wav,379106,48000,1,male,neutral,0
03-01-01-01-02-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-01-01-02-01-01.wav,372698,48000,1,male,neutral,0
03-01-01-01-02-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-01-01-02-02-01.wav,363108,48000,1,male,neutral,0
03-01-02-01-01-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-01-01-01-01.wav,399494,48000,1,male,calm,0
03-01-02-01-02-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-01-02-01-01.wav,396294,48000,1,male,calm,0
03-01-02-01-02-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-01-02-02-01.wav,393086,48000,1,male,calm,0
03-01-02-02-01-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-02-01-01-01.wav,415516,48000,1,male,calm,0
03-01-02-02-01-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-02-01-02-01.wav,444344,48000,1,male,calm,0
03-01-02-02-02-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-02-02-01-01.wav,463564,48000,1,male,calm,0
03-01-02-02-02-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-02-02-02-02-01.wav,444344,48000,1,male,calm,0
03-01-03-01-01-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-03-01-01-01-01.wav,393094,48000,1,male,happy,0
03-01-03-01-01-02-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-03-01-01-02-01.wav,393092,48000,1,male,happy,0
03-01-03-01-02-01-01.wav,datasets\RAVDESS\audio\Actor_01\03-01-03-01-02-01-01.wav,399498,48000,1,male,happy,0
